smiles,drug,uniport
[O-][N+](=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C1C(=O)CCCC1=O,DB00348,P32754
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,DB01219,P21817
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P14867
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P47869
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P34903
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P48169
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P31644
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,Q16445
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P18505
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P47870
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P28472
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,O14764
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P78334
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,Q8N1C3
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,P18507
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,Q99928
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,O00591
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,DB01595,Q9UN88
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P14867
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P47869
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P34903
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P48169
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P31644
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,Q16445
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P18505
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P47870
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P28472
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,O14764
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P78334
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,Q8N1C3
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,P18507
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,Q99928
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,O00591
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,DB01068,Q9UN88
[O-][N+](=O)OCCNC(=O)C1=CC=CN=C1,DB09220,O60706
[O-]S(=O)(=O)C1=CC=CC=C1.[O-]S(=O)(=O)C1=CC=CC=C1.COC1=CC2=C(C=C1OC)C(CC1=CC(OC)=C(OC)C=C1)[N+](C)(CCC(=O)OCCCCCOC(=O)CC[N+]1(C)CCC3=C(C=C(OC)C(OC)=C3)C1CC1=CC(OC)=C(OC)C=C1)CC2,DB00732,Q15822
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P14867
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P47869
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P34903
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P48169
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P31644
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,Q16445
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P18505
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P47870
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P28472
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,O14764
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P78334
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,Q8N1C3
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,P18507
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,Q99928
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,O00591
BrC1=CC2=C(NC(=O)CN=C2C2=CC=CC=N2)C=C1,DB01558,Q9UN88
C(CN1CCCC1)OC1=CC=C2NC3=NC=CC(=N3)C3=CC(COC\C=C\COCC1=C2)=CC=C3,DB11697,P36888
C(CN1CCCC1)OC1=CC=C2NC3=NC=CC(=N3)C3=CC(COC\C=C\COCC1=C2)=CC=C3,DB11697,O60674
C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,DB00968,P08913
C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O,DB00968,P20711
C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,DB00765,P07101
C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2OC(=O)CCCCCCCCC=C,DB14639,P10275
C[C@@](CC1=CC(O)=C(O)C=C1)(NN)C(O)=O,DB00190,P20711
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P08588
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P08913
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P07550
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P13945
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P35348
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P35368
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P25100
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P18089
C[C@@H]([C@H](O)C1=CC=CC=C1)N(C)C,DB11278,P18825
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,DB00179,P09917
C[C@@H](CC1=CC(O)=C(O)C=C1)[C@H](C)CC1=CC(O)=C(O)C=C1,DB00179,Q96QT4
C[C@@H](CN1C=CC(=N1)C1=CC=C(C#N)C(Cl)=C1)NC(=O)C1=NNC(=C1)C(C)O,DB12941,P10275
C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,DB00380,P11388
C[C@@H](NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](CCCNC(N)=N)NC(=O)[C@@H](C)NC(=O)[C@@H](CSSC[C@H](N)C(O)=O)NC(C)=O)C(=O)N[C@H](CCCNC(N)=N)C(N)=O,DB12865,P41180
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,P07550
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,P08588
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,P13945
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,P48048
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,P78508
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q14654
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q14500
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q9UNX9
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q99712
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q15842
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q12791
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q16558
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q9Y691
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q9NPA1
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q86W47
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,O15554
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q92952
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q9H2S1
C[C@@H](NCCC1=CC=C(O)C=C1)[C@@H](O)C1=CC=C(O)C=C1,DB00867,Q9UGI6
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,DB09099,P30872
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,DB09099,P35346
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,DB09099,P30874
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,DB09099,P32745
C[C@@H](O)[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@H](CO)NC1=O)C(O)=O)NC(=O)CNC(=O)[C@H](C)N)[C@@H](C)O,DB09099,P31391
C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,DB00673,P25103
C[C@@H](OC[C@]1(CC[C@]2(CCC(=O)N2)CN1)C1=CC=CC=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,DB09291,P25103
C[C@@H]1[C@@H](C[C@H](NC(=O)C2=CN=C3C[C@]4(CC3=C2)C(=O)NC2=C4C=CC=N2)C(=O)N1CC(F)(F)F)C1=C(F)C(F)=CC=C1F,DB16098,Q16602
C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,DB00922,Q14654
C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,DB00922,P63316
C[C@@H]1CC(=O)NN=C1C1=CC=C(NN=C(C#N)C#N)C=C1,DB00922,Q15842
C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=CC=CC2=C1NCC(C)C2,DB00278,P00734
C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,DB08895,O60674
C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,DB08895,P52333
C[C@@H]1CCN(C[C@@H]1N(C)C1=NC=NC2=C1C=CN2)C(=O)CC#N,DB08895,P23458
C[C@@H]1CN(C2=NC(=CC=C2C(=O)NS(=O)(=O)C2=CN(C)N=C2C)N2C=CC(OCC(C)(C)C(F)(F)F)=N2)C(C)(C)C1,DB15444,P13569
C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1,DB01106,P35367
C[C@@H]1CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@H]1CC[C@](CC1)(C#N)C1=CC=C(F)C=C1,DB01106,O95665
C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,DB01177,P11388
C[C@H](\C=C\C=C(/C)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC(=O)N2CCN(C)CC2)\C=C\[C@@H]1C)C1=CC=CC=N1,DB14017,O75533
C[C@H](C1=CNC=N1)C1=C(C)C(C)=CC=C1,DB00633,P08913
C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,DB06207,P35348
C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,DB06207,P35368
C[C@H](CC1=CC2=C(N(CCCO)CC2)C(=C1)C(N)=O)NCCOC1=CC=CC=C1OCC(F)(F)F,DB06207,P25100
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,DB00136,P11473
C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)CCC1=C,DB00146,P11473
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,DB00115,Q99707
C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,DB00115,P22033
C[C@H](CS)C(=O)N1CCC[C@H]1C(O)=O,DB01197,P12821
C[C@H](CSC(=O)C1=CC=CC=C1)C(=O)N1C[C@H](C[C@H]1C(O)=O)SC1=CC=CC=C1,DB13166,P12821
C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1,DB06707,P08913
C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1,DB06707,P18089
C[C@H](N)[C@H](O)C1=CC(O)=C(O)C=C1,DB06707,P18825
C[C@H](N)[C@H](O)C1=CC(O)=CC=C1,DB00610,P35348
C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1,DB11952,P48736
C[C@H](NC1=C2N=CNC2=NC=N1)C1=CC2=CC=CC(Cl)=C2C(=O)N1C1=CC=CC=C1,DB11952,O00329
C[C@H](NC1=CC=C(C#N)N(C)C1=O)C1=CC2=C(NC1=O)C=CC(Cl)=C2,DB16267,O75874
C[C@H](NCC1=CC=C(OCC2=CC(F)=CC=C2)C=C1)C(N)=O,DB06654,P27338
C[C@H]1CN(C[C@@H](C)N1)C1=C(F)C(N)=C2C(=O)C(=CN(C3CC3)C2=C1F)C(O)=O,DB01208,P11388
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1,DB06274,P35372
C[C@H]1O[C@H](C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@@H](O)[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1,DB01078,P05023
C[C@H]1OC2=C(N)N=CC(=C2)C2=C(C#N)N(C)N=C2CN(C)C(=O)C2=C1C=C(F)C=C2,DB12130,Q9UM73
C[N@@+]12CC[C@@H](CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,DB00771,P11229
C[N@+]1(CC2CC2)CC[C@]23[C@H]4OC5=C(O)C=CC(C[C@@H]1[C@]2(O)CCC4=O)=C35,DB06800,P35372
C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,DB01303,P30542
C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,DB01303,Q14432
C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,DB01303,P29274
C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,DB01303,P27815
C[N+](C)(C)CCO.CN1C2=C([N-]C=N2)C(=O)N(C)C1=O,DB01303,Q92769
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,DB00986,P20309
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,DB00986,P11229
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,DB00986,P08173
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1,DB00986,P08172
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,DB04843,P20309
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,DB04843,P11229
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1,DB06787,P20309
C[N+]1=C(\C=N\O)C=CC=C1,DB00733,P22303
C[N+]1=C(\C=N\O)C=CC=C1,DB00733,P06276
C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,DB06176,Q13547
C\C=C1/NC(=O)[C@H]2CSSCC\C=C\[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@@H](NC1=O)C(C)C,DB06176,Q92769
CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,DB09073,Q00534
CC(=O)C1=C(C)C2=CN=C(NC3=NC=C(C=C3)N3CCNCC3)N=C2N(C2CCCC2)C1=O,DB09073,P11802
CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,DB00414,P48048
CC(=O)C1=CC=C2SC3=C(C=CC=C3)N(CCCN3CCN(CCO)CC3)C2=C1,DB01063,P14416
CC(=O)CC(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=CC=CC=C2OC1=O,DB01418,Q9BQB6
CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,DB00682,Q9BQB6
CC(=O)N[C@@H](CS)C(O)=O,DB06151,Q9UPY5
CC(=O)N[C@@H](CS)C(O)=O,DB06151,P48637
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O,DB08818,P05362
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O,DB08818,P16070
CC(=O)N[C@H]1[C@H](O)O[C@H](CO)[C@@H](O)C1O[C@@H]1O[C@@H]([C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)C(O[C@@H]3O[C@@H]([C@@H](O)[C@H](O)[C@H]3O)C(O)=O)[C@H]2NC(C)=O)[C@H](O)[C@H]1O)C(O)=O,DB08818,O75330
CC(=O)NC1=CC=C(O)C=C1,DB00316,P23219
CC(=O)NC1=CC=C(O)C=C1,DB00316,P35354
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,P00915
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,P00918
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,P22748
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,O43570
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,P07451
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,P43166
CC(=O)NC1=NN=C(S1)S(N)(=O)=O,DB00819,Q9ULX7
CC(=O)NCCCS(O)(=O)=O,DB00659,Q9UBS5
CC(=O)NCCCS(O)(=O)=O,DB00659,P41594
CC(=O)NCCCS(O)(=O)=O,DB00659,Q05586
CC(=O)NCCCS(O)(=O)=O,DB00659,Q12879
CC(=O)NCCCS(O)(=O)=O,DB00659,Q13224
CC(=O)NCCCS(O)(=O)=O,DB00659,Q14957
CC(=O)NCCCS(O)(=O)=O,DB00659,O15399
CC(=O)NCCCS(O)(=O)=O,DB00659,Q8TCU5
CC(=O)NCCCS(O)(=O)=O,DB00659,O60391
CC(=O)O[C@H]1CC2=CC=CC=C2N(C(N)=O)C2=CC=CC=C12,DB09119,Q99571
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,DB08814,P35228
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,DB08814,P23219
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,DB08814,Q9Y233
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,DB08814,P19838
CC(=O)OC1=CC2=C(CCN(C2)C(C(=O)C2CC2)C2=CC=CC=C2F)S1,DB06209,Q9H244
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P14867
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P47869
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P34903
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P48169
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P31644
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,Q16445
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P18505
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P47870
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P28472
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,O14764
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P78334
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,Q8N1C3
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,P18507
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,Q99928
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,O00591
CC(=O)OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,DB14672,Q9UN88
CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1,DB08806,P25021
CC(C(O)=O)C1=CC(=CC=C1)C(=O)C1=CC=CC=C1,DB01009,P35354
CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,DB00573,P35354
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,DB00870,P23219
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1,DB00870,P35354
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1,DB09212,P23219
